TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,SUPP_INFO,CONS_OBJ
Polygon,183568,183568,1,Chihlimbarul de Buzău,Chihlimbarul de Buzău,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.0355727005004883,0.035572694287523,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,9375,9375,1,Piatra Craiului,Piatra Craiului,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,6.657626953125,6.657626681586,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183819,183819,1,Piatra Grăitoare din coasta de S-E a Brăiesei,Piatra Grăitoare din coasta de S-E a Brăiesei,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.455484886169434,0.455484976513694,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183783,183783,1,Poiana cu narcise de pe Șesul Mogoșenilor,Poiana cu narcise de pe Șesul Mogoșenilor,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.0894334983825684,0.0894334602518291,Not Applicable,0,Designated,1976,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183785,183785,1,Poiana cu narcise de pe masivul Saca,Poiana cu narcise de pe masivul Saca,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.0877923011779785,0.0877925820475497,Not Applicable,0,Designated,1976,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,11779,11779,1,Pădurea Bogății,Pădurea Bogății,Rezervatie naturala,Nature reserve,National,IV,Not Applicable,0,0,0,63.4312060546875,63.4312060666769,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,"Ministery of Environment and Climate Changes, Bulevardul Libertatii no. 12, Bucharest, Romania",Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183836,183836,1,Dealul Cetății - Lempeș,Dealul Cetății - Lempeș,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,3.63074249267578,3.63074277653638,Not Applicable,0,Designated,2000,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183685,183685,1,Coloanele de bazalt de la Piatra Cioplită,Coloanele de bazalt de la Piatra Cioplită,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.324685401916504,0.324685452945708,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183583,183583,1,Peștera Comarnic,Peștera Comarnic,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,0.924484024047852,0.924484063485123,Not Applicable,0,Designated,1994,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
Polygon,183868,183868,1,Balta Amara,Balta Amara,rezervatie stiintifica/rezervatie naturala/monument al naturii - in curs de clarificare,Not Assigned,National,Not Assigned,Not Applicable,0,0,0,7.95277465820312,7.95277464340738,Not Applicable,0,Designated,1995,Federal or national ministry or agency,Not Reported,Not Reported,Not Reported,State Verified,2013,Not Reported,ROU,ROU,Not Applicable,Not Applicable
